Overriding config with ./config/train_myHatespeech_char.py:
# train a miniature character-level Myanmar Hatepeech model

out_dir = 'out-myHatespeech-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'myHatespeech-char'
wandb_run_name = 'mini-gpt'

dataset = 'myHatespeech_char'
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

tokens per iteration will be: 655,360
found vocab_size = 343 (inside data/myHatespeech_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.75M
num decayed parameter tensors: 26, with 10,846,848 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 5.9544, val loss 5.9531
iter 0: loss 5.9471, time 31860.03ms, mfu -100.00%
iter 10: loss 4.0368, time 1113.83ms, mfu 13.50%
iter 20: loss 3.0333, time 1118.86ms, mfu 13.50%
iter 30: loss 2.5062, time 1118.83ms, mfu 13.49%
iter 40: loss 2.2987, time 1124.79ms, mfu 13.48%
iter 50: loss 2.1806, time 1124.80ms, mfu 13.47%
iter 60: loss 2.1559, time 1124.98ms, mfu 13.46%
iter 70: loss 2.1709, time 1125.21ms, mfu 13.45%
iter 80: loss 2.1324, time 1125.11ms, mfu 13.44%
iter 90: loss 2.1409, time 1131.22ms, mfu 13.43%
iter 100: loss 2.1276, time 1131.26ms, mfu 13.41%
iter 110: loss 2.0870, time 1130.97ms, mfu 13.40%
iter 120: loss 2.0193, time 1130.88ms, mfu 13.39%
iter 130: loss 1.9595, time 1130.92ms, mfu 13.38%
iter 140: loss 1.8906, time 1130.88ms, mfu 13.37%
iter 150: loss 1.8496, time 1130.93ms, mfu 13.37%
iter 160: loss 1.7627, time 1131.24ms, mfu 13.36%
iter 170: loss 1.7586, time 1131.20ms, mfu 13.35%
iter 180: loss 1.7058, time 1131.22ms, mfu 13.35%
iter 190: loss 1.6756, time 1131.19ms, mfu 13.34%
iter 200: loss 1.6366, time 1131.30ms, mfu 13.34%
iter 210: loss 1.6239, time 1131.32ms, mfu 13.33%
iter 220: loss 1.6269, time 1131.12ms, mfu 13.33%
iter 230: loss 1.5880, time 1131.66ms, mfu 13.33%
iter 240: loss 1.5673, time 1130.97ms, mfu 13.32%
step 250: train loss 1.4490, val loss 1.5101
saving checkpoint to out-myHatespeech-char
iter 250: loss 1.5463, time 4849.66ms, mfu 12.30%
iter 260: loss 1.5252, time 1131.23ms, mfu 12.40%
iter 270: loss 1.5235, time 1131.18ms, mfu 12.49%
iter 280: loss 1.4656, time 1131.31ms, mfu 12.57%
iter 290: loss 1.4611, time 1131.23ms, mfu 12.64%
iter 300: loss 1.4134, time 1131.03ms, mfu 12.71%
iter 310: loss 1.3886, time 1131.17ms, mfu 12.77%
iter 320: loss 1.3878, time 1131.96ms, mfu 12.82%
iter 330: loss 1.4124, time 1131.07ms, mfu 12.87%
iter 340: loss 1.3724, time 1131.37ms, mfu 12.91%
iter 350: loss 1.3732, time 1131.54ms, mfu 12.95%
iter 360: loss 1.3393, time 1130.98ms, mfu 12.98%
iter 370: loss 1.3278, time 1131.17ms, mfu 13.01%
iter 380: loss 1.2847, time 1131.05ms, mfu 13.04%
iter 390: loss 1.3181, time 1131.08ms, mfu 13.07%
iter 400: loss 1.2588, time 1131.05ms, mfu 13.09%
iter 410: loss 1.2541, time 1131.23ms, mfu 13.11%
iter 420: loss 1.2600, time 1131.13ms, mfu 13.13%
iter 430: loss 1.2459, time 1131.07ms, mfu 13.15%
iter 440: loss 1.2074, time 1131.25ms, mfu 13.16%
iter 450: loss 1.2323, time 1130.98ms, mfu 13.17%
iter 460: loss 1.1979, time 1131.29ms, mfu 13.19%
iter 470: loss 1.1627, time 1131.24ms, mfu 13.20%
iter 480: loss 1.1821, time 1131.54ms, mfu 13.21%
iter 490: loss 1.2012, time 1131.25ms, mfu 13.22%
step 500: train loss 1.0208, val loss 1.3429
saving checkpoint to out-myHatespeech-char
iter 500: loss 1.1650, time 5424.35ms, mfu 12.17%
iter 510: loss 1.1339, time 1125.40ms, mfu 12.29%
iter 520: loss 1.1190, time 1125.76ms, mfu 12.40%
iter 530: loss 1.0958, time 1125.57ms, mfu 12.49%
iter 540: loss 1.0943, time 1125.85ms, mfu 12.58%
iter 550: loss 1.0892, time 1125.47ms, mfu 12.66%
iter 560: loss 1.0504, time 1125.56ms, mfu 12.73%
iter 570: loss 1.0547, time 1125.87ms, mfu 12.79%
iter 580: loss 1.0229, time 1125.59ms, mfu 12.85%
iter 590: loss 1.0177, time 1125.65ms, mfu 12.90%
iter 600: loss 0.9908, time 1125.68ms, mfu 12.95%
iter 610: loss 1.0023, time 1125.84ms, mfu 12.99%
iter 620: loss 0.9593, time 1125.52ms, mfu 13.02%
iter 630: loss 0.9728, time 1125.83ms, mfu 13.06%
iter 640: loss 0.9599, time 1125.65ms, mfu 13.09%
iter 650: loss 0.9399, time 1125.42ms, mfu 13.12%
iter 660: loss 0.9203, time 1125.83ms, mfu 13.14%
iter 670: loss 0.9085, time 1125.56ms, mfu 13.16%
iter 680: loss 0.8865, time 1125.63ms, mfu 13.18%
iter 690: loss 0.8896, time 1125.70ms, mfu 13.20%
iter 700: loss 0.8740, time 1125.61ms, mfu 13.22%
iter 710: loss 0.8408, time 1125.37ms, mfu 13.23%
iter 720: loss 0.8244, time 1125.66ms, mfu 13.24%
iter 730: loss 0.8015, time 1125.73ms, mfu 13.26%
iter 740: loss 0.7951, time 1125.47ms, mfu 13.27%
step 750: train loss 0.5132, val loss 1.5649
iter 750: loss 0.7754, time 4725.40ms, mfu 12.26%
iter 760: loss 0.7597, time 1125.44ms, mfu 12.37%
iter 770: loss 0.7595, time 1125.47ms, mfu 12.47%
iter 780: loss 0.7279, time 1125.66ms, mfu 12.56%
iter 790: loss 0.7181, time 1125.67ms, mfu 12.64%
iter 800: loss 0.6987, time 1125.50ms, mfu 12.71%
iter 810: loss 0.6890, time 1125.88ms, mfu 12.77%
